Turkish,English
baskan,minister
karsilik,opposite
kurtulmak,to be saved
numara,number
defa,times
edilmek,to be made
bati,West
fark etmek,to notice
herhangi bir,any
sinema,cinema
degisik,strange
hedef,aim
uyumak,to sleep
dost,friend
yanmak,burn
anlayis,understanding
asil,royal
basmak,print
kenar,edge
kontrol,control
çevirmek,turn
din,religion
güçlü,strong
henüz,yet
plan,plan
beyin,brain
elektrik,electric
kari,wife
üstünde,above
et,meat
saglanmak,be provided
söylenmek,to be grumbled
çizgi,line
uç,fly
üye,member
cilt,skin
ruh,soul
sevgili,beloved
yaklasmak,approach
süreç,period
bakis,view
bilim,science
ileri,forward
ifade,expression
beden,body
hatirlamak,to remember
kaza,accident
iyice,thoroughly
dag,mountain
kapatmak,to close
adim,my name
ciddi,serious
çözüm,solution
etkilemek,to influence
belediye,council
gelisme,development
seçim,vote
aglamak,to cry
bagli,connected
kavram,concept
artirmak,increase
faaliyet,activity
zarar,damage
derin,deep
salon,living room
çesit,sort
kesilmek,cut off
seyretmek,to watch
birden,suddenly
içermek,to contain
sayilmak,be counted
toplamak,to collect
asmak,exceed
bagirmak,to shout
sorumluluk,responsibility
davranmak,to behave
mektup,letter
soguk,cold
canli,live
idi,was
makine,machine
yararlanmak,benefit
yasli,old
bos,empty
acaba,I wonder
maç,match
yönetici,executive
getirilmek,to be brought
metre,metre
tutulmak,to be held
kalite,quality
bitki,herb
degisiklik,change
ilaç,medicine
kredi,credit
yasa,law
basarili,successful
birer,one by one
imkan,facility
ceza,punishment
her sey,everything
incelemek,to examine
top,ball
uzman,expert
doldurmak,to fill
kanal,channel
mekân,place
uymak,to suit
yillik,yearly
dolayisiyla,therefore
yazilmak,to be written
ait,belonging
parmak,finger
saymak,to count
atilmak,embark on
belirlemek,to determine
normal,normal
hele,all in all
ilke,principle
kirmizi,red
rol,role
sarki,song
eleman,Workman
hazir,ready
benzemek,to resemble
bir sey,Something
hoca,teacher
boy,size
günlük,daily
politika,policy
suç,crime
niye,Why
sahne,scene
sokmak,sting
adet,piece
koltuk,armchair
kurtarmak,to save
sanatçi,artist
tercih etmek,to prefer
uzanmak,to lie down
asama,stage
eklemek,to add
orman,forest
ayirmak,to separate
düzen,order
faiz,interest
genellikle,Generally
her zaman,Always
hikaye,story
hücre,cell
ora,there
roman,novel
vergi,tax
yakmak,burn
agabey,brother
basin,Press
destek,support
giymek,to wear
hata,mistake
sinir,border
birlik,unity
eser,work
karsilamak,to meet
yari,half
yeterli,sufficient
birey,individual
karanlik,darkness
otobüs,bus
sanayi,industry
bebek,baby
vatandas,citizen
bakan,minister
kere,times
millet,people
reklam,advert
yükselmek,rise
boyut,dimension
dergi,magazine
enflasyon,inflation
sosyal,social
birisi,someone
geçmis,past
hastahane,hospital
olma,being
toplanti,meeting
gazeteci,journalist
içerisi,inside
inanç,belief
nitelik,qualification
üzeri,above
bitirmek,finish
gerçeklesmek,happen
giris,entrance
rahat,comfortable
toplam,total
beraber,together
dükkan,shop
gizli,hidden
benzer,similar
deri,skin
dönüsmek,turn into
mücadele,struggle
problem,problem
servis,service
tedavi,treatment
yesil,green
bakanlik,ministry
baski,oppression
tepki,reaction
cümle,sentence
dilemek,wish
özgürlük,freedom
gene,again
kimlik,identity
mesele,issue
üçüncü,third
belirlenmek,be determined
degerlendirmek,to evaluate
ilginç,interesting
sürücü,driver
süt,milk
yakalamak,to capture
esya,furniture
uluslararasi,international
aday,applicant
agirlik,weight
milyar,billion
saglikli,healthy
sikinti,problem
Tanri,God
tavir,attitude
toplumsal,social
yayin,broadcasting
dikkat etmek,to be careful
son derece,extremely
toplanmak,collect
yatirim,investment
hafif,light
karismak,interfere
tehlike,danger
vakit,time
daire,apartment
firsat,opportunity
islemek,handle
karistirmak,to mix up
katki,contribution
öykü,story
tamamen,completely
uçak,aeroplane
yanit,response
doga,nature
evlenmek,to marry
burun,nose
çikar,interest
elbette,certainly
isçi,employee
isletme,business
kisaca,briefly
magaza,shopping centre
medya,media
yüzünden,because
artis,increase
çikarilmak,be removed
kamu,public
sigorta,insurance
yaz,Summer
yürek,heart
belge,document
çaba,effort
her gün,every day
ifade etmek,to express
risk,risk
söz etmek,mention
sözcük,word
demokrasi,democracy
tuz,salt
cami,mosque
çag,age
düsük,low
etraf,around
hizla,quickly
olanak,possibility
organ,organ
öldürmek,kill
öteki,other
sene,year
bozulmak,break down
ilgilenmek,to take care of
meyve,fruit
takilmak,to hang around
tatli,sweet
bacak,leg
degisim,change
kanun,law
rüzgar,wind
cumhuriyet,republic
gelistirmek,to develop
tarz,style
yedi,seven
azalmak,decrease
baglamak,to connect
cep telefonu,mobile phone
iletisim,communication
müdür,manager
otel,hotel
yayimlanmak,be published
zevk,pleasure
binmek,to get on
güvenlik,security
hukuk,law
kilmak,make
modern,modern
okur,reader
silah,weapon
talep,request
yildiz,star
yogun,busy
asker,soldier
basit,simple
denilmek,to be called
gaz,gas
uygulama,APPLICATION
üretilmek,produce
beyan,declaration
besin,food
dün,Yesterday
görüsmek,to meet
yaklasik,approximately
alisveris,shopping
bilinç,consciousness
çerçeve,frame
lazim,required
mevcut,available
tüketici,consumer
uzatmak,to lengthen
yönelik,oriented
at,horse
baglanmak,connect
mesela,for example
neredeyse,almost
site,site
yardimci olmak,help
abla,older sister
çiçek,flower
hepsi,all
saygi,respect
ücret,fee
yetenek,talent
kilo,kilo
paylasmak,to share
sert,hard
yani sira,Besides the
çay,tea
gider,expense
kesin,definite
zengin,rich
asla,never
laf,word
örgüt,organization
ticaret,trade
yaptirmak,have it made
boyun,neck
cihaz,device
denge,balance
giderek,increasingly
sirt,back
dolayi,because
kahve,coffee
kas,eyebrow
meclis,council
öteki,other
ugrasmak,to strive
adres,address
belirtilmek,be specified
pasa,Pasha
sicaklik,heat
tamam,Ok
güven,trust
marka,brand
yaprak,leaf
yarar,benefit
yayilmak,spread
akmak,flow
çizmek,to draw
düsünülmek,to be considered
gönül,heart
hayal,dream
ilerlemek,to go forward
sarap,wine
yukarida,above
altin,gold
düzenlemek,to organise
satin almak,to buy
sunulmak,be presented
temiz,clean
vitamin,vitamin
ek,additional
geç,late
hareket etmek,act
yumurta,egg
asiri,extreme
eylem,action
istenmek,to be wanted
kesim,cut
kriz,crisis
birim,unit
kapanmak,shut up
